Date,Dividends
2001-01-11 00:00:00+01:00,0.102194
2001-07-02 00:00:00+02:00,0.136259
2002-01-10 00:00:00+01:00,0.119227
2002-07-01 00:00:00+02:00,0.161808
2003-01-10 00:00:00+01:00,0.144775
2003-07-01 00:00:00+02:00,0.195872
2004-01-12 00:00:00+01:00,0.180969
2004-07-01 00:00:00+02:00,0.330002
2005-01-11 00:00:00+01:00,0.229937
2005-07-01 00:00:00+02:00,0.374712
2006-01-10 00:00:00+01:00,0.264002
2006-07-04 00:00:00+02:00,0.451358
2007-01-09 00:00:00+01:00,0.315099
2007-07-02 00:00:00+02:00,0.519488
2008-01-08 00:00:00+01:00,0.366196
2008-07-01 00:00:00+02:00,0.604649
2009-01-08 00:00:00+01:00,0.408777
2009-07-01 00:00:00+02:00,0.1
2009-07-03 00:00:00+02:00,0.1
2010-01-08 00:00:00+01:00,0.352
2010-07-01 00:00:00+02:00,0.44
2011-01-07 00:00:00+01:00,0.352
2011-05-31 00:00:00+02:00,0.453
2012-01-09 00:00:00+01:00,0.363
2012-05-30 00:00:00+02:00,0.467
2013-01-08 00:00:00+01:00,0.391
2013-07-01 00:00:00+02:00,0.503
2014-01-08 00:00:00+01:00,0.393
2014-07-01 00:00:00+02:00,0.504
2015-01-08 00:00:00+01:00,0.397
2015-07-01 00:00:00+02:00,0.511
2016-01-08 00:00:00+01:00,0.4078
2016-06-27 00:00:00+02:00,0.5922
2016-09-22 00:00:00+02:00,0.33
2017-06-23 00:00:00+02:00,0.67
2017-07-25 00:00:00+02:00,0.33
2017-09-25 00:00:00+02:00,0.33
2018-06-25 00:00:00+02:00,0.67
2018-07-03 00:00:00+02:00,0.67
2018-07-27 00:00:00+02:00,0.28
2018-11-23 00:00:00+01:00,0.45
2019-03-18 00:00:00+01:00,0.57
2019-07-29 00:00:00+02:00,0.29395
2019-11-08 00:00:00+01:00,0.473
2020-03-23 00:00:00+01:00,0.593
2020-06-01 00:00:00+02:00,0.01
2020-07-27 00:00:00+02:00,0.31
2020-11-09 00:00:00+01:00,0.5
2021-03-15 00:00:00+01:00,0.63
2021-08-02 00:00:00+02:00,0.3
2021-11-11 00:00:00+01:00,0.4
2022-03-18 00:00:00+01:00,0.5
2022-08-16 00:00:00+02:00,0.3
2022-11-16 00:00:00+01:00,0.4
2023-03-31 00:00:00+02:00,0.5
